area,rooms,arrondissement,price
117,5,6,1870915
107,6,5,1188216
29,2,20,239040
121,6,2,1545558
86,5,6,1417701
35,2,11,347573
117,4,16,1784518
136,7,16,2045164
89,5,1,1232452
102,5,9,1194914
131,6,6,2032137
114,4,16,1640443
118,6,3,1251880
145,8,20,1144454
67,4,4,918745
16,1,19,125853
102,4,3,1262868
52,2,19,393531
144,6,20,1076791
35,2,7,572664
72,4,20,546465
36,1,9,406446
103,6,1,1474428
63,4,8,1029054
73,2,7,1199616
29,1,18,238921
65,4,8,1007018
122,7,1,1585374
69,4,11,714095
78,3,18,719374
145,7,10,1581816
65,3,3,753200
149,6,7,2541656
35,1,16,514253
87,3,16,1428292
32,1,20,247349
146,7,17,1811317
103,5,2,1308535
74,3,1,1014618
28,2,16,432508
23,1,12,207097
104,6,5,1168368
67,2,5,717053
144,8,9,1795117
98,4,9,1173198
106,4,3,1304988
125,5,19,980429
22,1,16,337227
49,3,16,796143
95,4,3,1097863
64,2,20,509255
118,4,1,1611838
146,6,20,1261030
16,1,11,172181
148,8,17,1853515
68,3,8,990507
120,7,4,1549414
18,1,6,276573
68,3,8,1001209
58,1,20,467647
28,1,3,334060
109,6,16,1702992
62,3,3,732119
29,2,18,258329
54,3,14,547318
96,4,18,960975
125,5,2,1561007
67,2,3,881329
38,1,16,536268
138,5,9,1674958
55,2,4,702866
29,1,1,389449
59,3,4,793810
79,3,1,1139174
103,6,14,1005215
85,3,16,1141520
23,1,20,180135
102,4,8,1540649
143,6,7,2431220
77,4,3,958924
95,3,17,1354396
47,2,1,671616
137,6,16,2113338
19,1,12,191407
55,3,19,465793
42,1,14,431159
149,6,6,2473293
86,3,6,1500456
26,2,13,236655
47,2,19,370905
62,3,8,950752
76,2,2,1044130
51,2,1,731900
113,5,15,1189926
118,6,1,1596742
49,3,5,515605
115,6,16,1677990
145,8,19,1086491
15,1,4,196075
19,1,3,223097
